#++
#
#   Frequency Database
#   ==================
#
#   Created: 29-Mar-2026 15:32:45
#
#   The column names are the database fields
#
#   When importing:
#       Rows starting with # are treated as comments
#       Missing fields are left empty
#       Invalid fields are ignored
#       First field must be Frequency
#       Frequency value is in kHz not Hz
#       Source is set to Custom
#       Added is set to the current date & time
#
#--
Frequency,Station,Site,Azi,Dist,Locator,RDS_PI,RDS_PS,CallID,Language,TX_Country,Time_On,Time_Off,Days,Target,Notes,Pwr,M,Org_Country,Lat,Lon,ITU,Polarity,Source,Date
"7435000","Radio Russia","","190","","","","","","Rus","RUS","1400","1900","1234567","39","","200","","MSK","","","","","HFCC","2026-03-29 15:32"
"7435000","United States Agency for Global Media (USAGM)","","184","","","","","","Spa","USA","0100","1000","1234567","11","","250","","GB","","","","","HFCC","2026-03-29 15:32"
"7435000","United States Agency for Global Media (USAGM)","","30","","","","","","Fas","KWT","1100","1400","1234567","40","","250","","KWT","","","","","HFCC","2026-03-29 15:32"
"7440000","China Radio International","","200","","","","","","Chn","CHN","1200","1400","1234567","49E,54W","","100","","NNN","","","","","HFCC","2026-03-29 15:32"
"7440000","Japan International Communications","","290","","","","","","Mul","J","1950","2050","1234567","43N,44","","300","","YAM","","","","","HFCC","2026-03-29 15:32"
"7440000","Radio New Zealand","","325","","","","","","Eng","NZL","1300","1700","1234567","51,56,64S,65S","NZL","50","","RAN","","","","","HFCC","2026-03-29 15:32"
"7440000","Radio New Zealand","","35","","","","","","Eng","NZL","1300","1700","1234567","61S,62,63W","NZL","50","","RAN","","","","","HFCC","2026-03-29 15:32"
"7445000","BBC Worldservice","","95","","","","","","Prs","CVA","0030","0100","1234567","40E,41NW","DARIA","250","","SMG","","","","","HFCC","2026-03-29 15:32"
"7445000","BBC Worldservice","","35","","","","","","Pus","OMA","0100","0130","1234567","40E,41NW","PASHA","250","","SLA","","","","","HFCC","2026-03-29 15:32"
"7445000","BBC Worldservice","","35","","","","","","Prs","OMA","0130","0200","1234567","40E,41NW","DARIA","250","","SLA","","","","","HFCC","2026-03-29 15:32"
"7445000","BBC Worldservice","","68","","","","","","Kor","UZB","1630","1700","23456","44NE","KOREA","100","","TAC","","","","","HFCC","2026-03-29 15:32"
"7445000","BBC Worldservice","","68","","","","","","Kor","UZB","1730","1800","23456","44NE","KOREA","100","","TAC","","","","","HFCC","2026-03-29 15:32"
"7445000","China Radio International","","212","","","","","","Eng","CHN","1500","1600","1234567","41W","","500","","URU","","","","","HFCC","2026-03-29 15:32"
"7445000","China Radio International","","300","","","","","","Srp","CHN","2100","2130","1234567","28SE","","500","","KUN","","","","","HFCC","2026-03-29 15:32"
"7445000","China Radio International","","308","","","","","","Hun","CHN","2130","2200","1234567","28N","","500","","URU","","","","","HFCC","2026-03-29 15:32"
"7445000","Radio Russia","","268","","","","","","Rus","RUS","0000","0500","1234567","12,13,14,16","","800","","S.P","","","","","HFCC","2026-03-29 15:32"
"7445000","Radio Russia","","147","","","","","","Rus","RUS","1500","2000","1234567","39","","200","","S.P","","","","","HFCC","2026-03-29 15:32"
"7450000","China National Radio","","85","","","","","","Zho","CHN","0900","1800","1234567","43SW","","100","","LHA","","","","","HFCC","2026-03-29 15:32"
"7450000","China National Radio","","85","","","","","","Zho","CHN","2000","0300","1234567","43SW","","100","","LHA","","","","","HFCC","2026-03-29 15:32"
"7460000","United States Agency for Global Media (USAGM)","","50","","","","","","Fas","KWT","0000","2400","1234567","40","","250","","KWT","","","","","HFCC","2026-03-29 15:32"
"7470000","United States Agency for Global Media (USAGM)","","332","","","","","","Cmn","PHL","1100","1300","1234567","43,44","","250","","PHT","","","","","HFCC","2026-03-29 15:32"
"7480000","Trans World Radio","","76","","","","","","Kaz","UZB","1445","1500","1234567","44-45","","100","","TAC","","","","","HFCC","2026-03-29 15:32"
"7490000","Allan H. Weiner","","245","","","","","","Eng","USA","1500","1200","1234567","3-5,9-11","","50","","BCQ","","","","","HFCC","2026-03-29 15:32"
"7490000","WNQM, Inc.","","85","","","","","","Eng","USA","1200","1500","1234567","36-38,46-48,57","","100","","WCR","","","","","HFCC","2026-03-29 15:32"
"7490000","WNQM, Inc.","","85","","","","","","Eng","USA","1200","1500","1234567","36-38,46-48,57","","100","","WCR","","","","","HFCC","2026-03-29 15:32"
"7490000","WNQM, Inc.","","85","","","","","","Eng","USA","1200","1500","1234567","36-38,46-48,57","","100","","WCR","","","","","HFCC","2026-03-29 15:32"
"7495000","United States Agency for Global Media (USAGM)","","70","","","","","","Pst","KWT","0030","0100","1234567","40E,41NW","","250","","KWT","","","","","HFCC","2026-03-29 15:32"
"7495000","United States Agency for Global Media (USAGM)","","70","","","","","","Pst","KWT","1630","1700","1234567","40E,41NW","","250","","KWT","","","","","HFCC","2026-03-29 15:32"
"7495000","United States Agency for Global Media (USAGM)","","70","","","","","","Prs","KWT","1700","1730","1234567","40E,41NW","","250","","KWT","","","","","HFCC","2026-03-29 15:32"
"7505000","WRNO Worldwide, Inc.","","20","","","","","","Eng","USA","2200","1600","1234567","3-5,9-11,17","","50","","RNO","","","","","HFCC","2026-03-29 15:32"
"7520000","WNQM, Inc.","","90","","","","","","Eng","USA","0000","0400","1234567","9,11,47,52,53","","100","","WCR","","","","","HFCC","2026-03-29 15:32"
"7520000","WNQM, Inc.","","90","","","","","","Eng","USA","0000","0400","1234567","9,11,47,52,53","","100","","WCR","","","","","HFCC","2026-03-29 15:32"
"7520000","WNQM, Inc.","","90","","","","","","Eng","USA","0000","0400","1234567","9,11,47,52,53","","100","","WCR","","","","","HFCC","2026-03-29 15:32"
"7520000","WNQM, Inc.","","46","","","","","","Eng","USA","0400","1200","1234567","4,9,27,37-39","","100","","WCR","","","","","HFCC","2026-03-29 15:32"
"7520000","WNQM, Inc.","","46","","","","","","Eng","USA","0400","1200","1234567","4,9,27,37-39","","100","","WCR","","","","","HFCC","2026-03-29 15:32"
"7520000","WNQM, Inc.","","46","","","","","","Eng","USA","0400","1200","1234567","4,9,27,37-39","","100","","WCR","","","","","HFCC","2026-03-29 15:32"
"7520000","WNQM, Inc.","","85","","","","","","Eng","USA","1200","1600","1234567","36-38,46-48,57","","100","","WCR","","","","","HFCC","2026-03-29 15:32"
"7520000","WNQM, Inc.","","85","","","","","","Eng","USA","1200","1600","1234567","36-38,46-48,57","","100","","WCR","","","","","HFCC","2026-03-29 15:32"
"7520000","WNQM, Inc.","","85","","","","","","Eng","USA","1200","1600","1234567","36-38,46-48,57","","100","","WCR","","","","","HFCC","2026-03-29 15:32"
"7555000","For new organization","","110","","","","","","Mul","BUL","0000","2359","1234567","29,39,40,28,30W,27","BUL","250","","SOF","","","","","HFCC","2026-03-29 15:32"
"7570000","Radio Miami International","","285","","","","","","EngSpa","USA","0100","1200","1234567","10","","100","","RMI","","","","","HFCC","2026-03-29 15:32"
"7730000","Radio Miami International","","44","","","","","","Eng","USA","0000","2400","1234567","9,11","","100","","RMI","","","","","HFCC","2026-03-29 15:32"
"7780000","Radio Miami International","","222","","","","","","Eng","USA","0000","1200","1234567","10,11","","100","","RMI","","","","","HFCC","2026-03-29 15:32"
"9265000","World International Broadcasters, Inc.","","242","","","","","","Eng","USA","0000","0700","1234567","10,11","","50","","INB","","","","","HFCC","2026-03-29 15:32"
"9265000","World International Broadcasters, Inc.","","242","","","","","","Eng","USA","1000","2400","17","10,11","","50","","INB","","","","","HFCC","2026-03-29 15:32"
"9265000","World International Broadcasters, Inc.","","242","","","","","","Eng","USA","1700","2400","23456","10,11","","50","","INB","","","","","HFCC","2026-03-29 15:32"
"9275000","Assemblies of Yahweh","","53","","","","","","Eng","USA","2300","0400","123456","27,28,39","","300","","MLK","","","","","HFCC","2026-03-29 15:32"
"9310000","United States Agency for Global Media (USAGM)","","21","","","","","","Kor","PHL","1530","1600","1234567","44NE","","250","","PHT","","","","","HFCC","2026-03-29 15:32"
"9320000","Trans World Radio","","71","","","","","","Kor","TJK","1900","2000","1234567","44-45","","250","","DB","","","","","HFCC","2026-03-29 15:32"
"9320000","United States Agency for Global Media (USAGM)","","78","","","","","","Bod","KWT","0000","0030","17","42,43W","","250","","KWT","","","","","HFCC","2026-03-29 15:32"
"9320000","United States Agency for Global Media (USAGM)","","78","","","","","","Bod","KWT","0100","0130","23456","42,43W","","250","","KWT","","","","","HFCC","2026-03-29 15:32"
"9330000","Allan H. Weiner","","175","","","","","","Por","USA","0000","0100","1234567","12,13,15","","500","","BCQ","","","","","HFCC","2026-03-29 15:32"
"9330000","Allan H. Weiner","","270","","","","","","Eng","USA","0100","0400","1234567","10","","250","","BCQ","","","","","HFCC","2026-03-29 15:32"
"9330000","Allan H. Weiner","","70","","","","","","Ara","USA","0400","0500","1234567","37,38","","500","","BCQ","","","","","HFCC","2026-03-29 15:32"
"9330000","Allan H. Weiner","","270","","","","","","Eng","USA","0500","0900","1234567","10","","250","","BCQ","","","","","HFCC","2026-03-29 15:32"
"9330000","Allan H. Weiner","","76","","","","","","Por","USA","0900","1000","1234567","37","","500","","BCQ","","","","","HFCC","2026-03-29 15:32"
"9330000","Allan H. Weiner","","76","","","","","","Spa","USA","1000","1100","1234567","37","","500","","BCQ","","","","","HFCC","2026-03-29 15:32"
"9330000","Allan H. Weiner","","180","","","","","","Spa","USA","1100","1300","1234567","11,12","","500","","BCQ","","","","","HFCC","2026-03-29 15:32"
"9330000","Allan H. Weiner","","220","","","","","","Spa","USA","1300","1400","1234567","10,11","","250","","BCQ","","","","","HFCC","2026-03-29 15:32"
"9330000","Allan H. Weiner","","300","","","","","","Eng","USA","1400","1600","1234567","2,3","","250","","BCQ","","","","","HFCC","2026-03-29 15:32"
"9330000","Allan H. Weiner","","57","","","","","","Eng","USA","1600","1800","1234567","27","","500","","BCQ","","","","","HFCC","2026-03-29 15:32"
"9330000","Allan H. Weiner","","54","","","","","","Deu","USA","1800","1900","1234567","28","","500","","BCQ","","","","","HFCC","2026-03-29 15:32"
"9330000","Allan H. Weiner","","81","","","","","","Ara","USA","1900","2300","1234567","37,38,46","","500","","BCQ","","","","","HFCC","2026-03-29 15:32"
"9330000","Allan H. Weiner","","175","","","","","","Por","USA","2300","2400","1234567","12,13,15","","500","","BCQ","","","","","HFCC","2026-03-29 15:32"
"9345000","United States Agency for Global Media (USAGM)","","78","","","","","","Bod","KWT","1600","1700","1234567","42,43W","","250","","KWT","","","","","HFCC","2026-03-29 15:32"
"9350000","United States Agency for Global Media (USAGM)","","332","","","","","","Cmn","PHL","0000","0100","1234567","43,44","","250","","PHT","","","","","HFCC","2026-03-29 15:32"
"9350000","WNQM, Inc.","","85","","","","","","Eng","USA","1900","2400","1234567","36-38,46-48,57","","100","","WCR","","","","","HFCC","2026-03-29 15:32"
"9350000","WNQM, Inc.","","85","","","","","","Eng","USA","1900","2400","1234567","36-38,46-48,57","","100","","WCR","","","","","HFCC","2026-03-29 15:32"
"9350000","WNQM, Inc.","","85","","","","","","Eng","USA","1900","2400","1234567","36-38,46-48,57","","100","","WCR","","","","","HFCC","2026-03-29 15:32"
"9360000","United States Agency for Global Media (USAGM)","","50","","","","","","Fas","KWT","0000","1400","1234567","40","","250","","KWT","","","","","HFCC","2026-03-29 15:32"
"9360000","United States Agency for Global Media (USAGM)","","315","","","","","","Fas","PHL","1400","2400","1234567","40","","250","","PHT","","","","","HFCC","2026-03-29 15:32"
"9370000","United States Agency for Global Media (USAGM)","","78","","","","","","Bod","KWT","0000","0030","17","42,43W","","250","","KWT","","","","","HFCC","2026-03-29 15:32"
"9370000","United States Agency for Global Media (USAGM)","","78","","","","","","Bod","KWT","0100","0130","23456","42,43W","","250","","KWT","","","","","HFCC","2026-03-29 15:32"
"9370000","United States Agency for Global Media (USAGM)","","58","","","","","","Fas","KWT","0300","1230","1234567","40","","250","","KWT","","","","","HFCC","2026-03-29 15:32"
"9370000","United States Agency for Global Media (USAGM)","","70","","","","","","Prs","KWT","1500","1530","1234567","40E,41NW","","250","","KWT","","","","","HFCC","2026-03-29 15:32"
"9370000","United States Agency for Global Media (USAGM)","","70","","","","","","Pst","KWT","1530","1600","1234567","40E,41NW","","250","","KWT","","","","","HFCC","2026-03-29 15:32"
"9370000","United States Agency for Global Media (USAGM)","","70","","","","","","Prs","KWT","1600","1630","1234567","40E,41NW","","250","","KWT","","","","","HFCC","2026-03-29 15:32"
"9370000","United States Agency for Global Media (USAGM)","","70","","","","","","Pst","KWT","1630","1700","1234567","40E,41NW","","250","","KWT","","","","","HFCC","2026-03-29 15:32"
"9370000","United States Agency for Global Media (USAGM)","","58","","","","","","Fas","KWT","1630","2000","1234567","40","","250","","KWT","","","","","HFCC","2026-03-29 15:32"
"9370000","United States Agency for Global Media (USAGM)","","70","","","","","","Prs","KWT","1700","1730","1234567","40E,41NW","","250","","KWT","","","","","HFCC","2026-03-29 15:32"
"9370000","United States Agency for Global Media (USAGM)","","70","","","","","","Pst","KWT","1730","1800","1234567","40E,41NW","","250","","KWT","","","","","HFCC","2026-03-29 15:32"
"9380000","Trans World Radio","","5","","","","","","Tuv","SWZ","1745","1800","7","48SW,53N","","100","","MAN","","","","","HFCC","2026-03-29 15:32"
"9390000","BBC Worldservice","","72","","","","","","Kor","TJK","1430","1500","23456","44NE","KOREA","250","","DB","","","","","HFCC","2026-03-29 15:32"
"9390000","BBC Worldservice","","72","","","","","","Kor","TJK","1530","1600","23456","44NE","KOREA","250","","DB","","","","","HFCC","2026-03-29 15:32"
"9390000","BBC Worldservice","","72","","","","","","Kor","TJK","1630","1700","23456","44NE","KOREA","250","","DB","","","","","HFCC","2026-03-29 15:32"
"9390000","BBC Worldservice","","72","","","","","","Kor","TJK","1730","1800","23456","44NE","KOREA","250","","DB","","","","","HFCC","2026-03-29 15:32"
"9395000","Radio Miami International","","355","","","","","","EngSpaCmn","USA","0000","2400","1234567","3,4,9","","100","","RMI","","","","","HFCC","2026-03-29 15:32"
"9400000","Far East Broadcasting Company","","330","","","","","","Mul","PHL","1000","1400","1234567","42-44","B0027H","100","","IBA","","","","","HFCC","2026-03-29 15:32"
"9400000","For new organization","","126","","","","","","Eng","BUL","0000","2359","1234567","39,40","BUL","250","","SOF","","","","","HFCC","2026-03-29 15:32"
"9405000","Far East Broadcasting Company","","345","","","","","","Cmn","PHL","2230","0030","1234567","42-44","B0008H","100","","BOC","","","","","HFCC","2026-03-29 15:32"
"9405000","Radio Russia","","180","","","","","","Rus","RUS","1500","1800","1234567","43,44,49","","250","","IRK","","","","","HFCC","2026-03-29 15:32"
"9410000","Abu Dhabi Media Company","","70","","","","","","Hin","UAE","0100","0130","1234567","41N,42SW","UAE","250","","DHA","","","","","HFCC","2026-03-29 15:32"
"9410000","Abu Dhabi Media Company","","60","","","","","","Urd","UAE","0200","0230","1234567","41NW","UAE","250","","DHA","","","","","HFCC","2026-03-29 15:32"
"9410000","Abu Dhabi Media Company","","255","","","","","","Ara","UAE","0300","0500","1234567","47E,48NW","UAE","250","","DHA","","","","","HFCC","2026-03-29 15:32"
"9410000","Abu Dhabi Media Company","","220","","","","","","Eng","UAE","1800","1900","1234567","48SW,53NW","UAE","250","","DHA","","","","","HFCC","2026-03-29 15:32"
"9410000","BBC Worldservice","","35","","","","","","Pus","OMA","0200","0230","1234567","40E,41NW","PASHA","250","","SLA","","","","","HFCC","2026-03-29 15:32"
"9410000","BBC Worldservice","","35","","","","","","Prs","OMA","0230","0300","1234567","40E,41NW","DARIA","250","","SLA","","","","","HFCC","2026-03-29 15:32"
"9410000","BBC Worldservice","","27","","","","","","Eng","G","0500","0700","1234567","46","ENAFW_W","125","","ASC","","","","","HFCC","2026-03-29 15:32"
"9410000","China Radio International","","294","","","","","","Hrv","CHN","1700","1800","1234567","28SW","","500","","KAS","","","","","HFCC","2026-03-29 15:32"
"9410000","China Radio International","","294","","","","","","Por","CHN","2200","2300","1234567","13,15","","500","","KAS","","","","","HFCC","2026-03-29 15:32"
"9410000","Egypt Radio & TV Union","","325","","","","","","Deu","EGY","1900","2000","1234567","27,28W","","125","","ABS","","","","","HFCC","2026-03-29 15:32"
"9410000","Encompass Digital Media Services","","27","","","","","","Ara","G","2000","2030","1","37S,38,46N,47N","","250","","ASC","","","","","HFCC","2026-03-29 15:32"
"9410000","Radio Russia","","145","","","","","","Rus","RUS","1600","1800","1234567","42,44,49","","250","","NVS","","","","","HFCC","2026-03-29 15:32"
"9410000","United States Agency for Global Media (USAGM)","","205","","","","","","Spa","USA","1100","1500","1234567","11","","250","","GB","","","","","HFCC","2026-03-29 15:32"
"9420000","China National Radio","","163","","","","","","Zho","CHN","0900","1605","1234567","44S","","100","","BEI","","","","","HFCC","2026-03-29 15:32"
"9420000","China National Radio","","298","","","","","","Uig","CHN","1100","1805","1234567","42N,43NW","","100","","LIN","","","","","HFCC","2026-03-29 15:32"
"9420000","China National Radio","","163","","","","","","Zho","CHN","2155","0100","1234567","44S","","100","","BEI","","","","","HFCC","2026-03-29 15:32"
"9420000","Radio Russia","","217","","","","","","Rus","RUS","1600","2100","1234567","37,38,39","","200","","S.P","","","","","HFCC","2026-03-29 15:32"
"9420000","Radio Russia","","267","","","","","","Rus","RUS","2200","0600","1234567","12,14,16","","500","","MSK","","","","","HFCC","2026-03-29 15:32"
"9430000","HFCC, Intl. Radio for Disaster Relief project","","0","","","","","","Und","CVA","0000","2400","1234567","1-85","!IRDR!","100","","SMG","","","","","HFCC","2026-03-29 15:32"
"9440000","BBC Worldservice","","65","","","","","","Fra","G","0600","0629","1234567","47S,52N,52SE","FRENA_C","125","","ASC","","","","","HFCC","2026-03-29 15:32"
"9440000","BBC Worldservice","","65","","","","","","Hau","G","0629","0700","1234567","46SE","HAUSA","125","","ASC","","","","","HFCC","2026-03-29 15:32"
"9440000","China Radio International","","163","","","","","","Nan","CHN","1100","1200","1234567","49E","","150","","KUN","","","","","HFCC","2026-03-29 15:32"
"9440000","China Radio International","","163","","","","","","Khm","CHN","1200","1300","1234567","49SE","","150","","KUN","","","","","HFCC","2026-03-29 15:32"
"9440000","China Radio International","","200","","","","","","Epo","CHN","1300","1400","1234567","49SE","","100","","NNN","","","","","HFCC","2026-03-29 15:32"
"9440000","China Radio International","","283","","","","","","Eng","CHN","1900","2000","1234567","38-40,47N,48N","","500","","KUN","","","","","HFCC","2026-03-29 15:32"
"9440000","China Radio International","","300","","","","","","Eng","CHN","2000","2100","1234567","38-40","","500","","KUN","","","","","HFCC","2026-03-29 15:32"
"9440000","Nippon Hoso Kyokai","","117","","","","","","Jpn","D","0100","0300","1234567","39,40","","125","","NAU","","","","","HFCC","2026-03-29 15:32"
"9440000","Nippon Hoso Kyokai","","290","","","","","","Urd","J","1600","1620","1234567","41","","300","","YAM","","","","","HFCC","2026-03-29 15:32"
"9445000","China Radio International","","345","","","","","","Rus","CHN","0000","0100","1234567","32N,33N","","100","","HUH","","","","","HFCC","2026-03-29 15:32"
"9445000","China Radio International","","345","","","","","","Rus","CHN","2300","2400","1234567","32N,33N","","100","","HUH","","","","","HFCC","2026-03-29 15:32"
"9445000","Japan International Communications","","290","","","","","","Mul","J","1700","1805","1234567","43N,44","","300","","YAM","","","","","HFCC","2026-03-29 15:32"
"9450000","China Radio International","","209","","","","","","Urd","CHN","0200","0300","1234567","41NW","","100","","KAS","","","","","HFCC","2026-03-29 15:32"
"9450000","China Radio International","","209","","","","","","Chn","CHN","0300","0400","1234567","41NW","","100","","KAS","","","","","HFCC","2026-03-29 15:32"
"9450000","China Radio International","","174","","","","","","Hin","CHN","1300","1400","1234567","41","","100","","KAS","","","","","HFCC","2026-03-29 15:32"
"9450000","Radio Russia","","110","","","","","","Rus","RUS","0000","0200","1234567","41","","500","","ARM","","","","","HFCC","2026-03-29 15:32"
"9450000","Radio Russia","","218","","","","","","Rus","RUS","1000","1400","1234567","43,44","","100","","KHB","","","","","HFCC","2026-03-29 15:32"
"9450000","Radio Russia","","275","","","","","","Rus","RUS","1400","2200","1234567","27,28,29","","250","","MSK","","","","","HFCC","2026-03-29 15:32"
"9455000","Broadcasting Serv. of the Kingdom of Saudi Arabia","","295","","","","","","Ara","ARS","0600","0900","1234567","37,38","","500","","RIY","","","","","HFCC","2026-03-29 15:32"
"9455000","China Radio International","","191","","","","","","Chn","CHN","1500","1600","1234567","49,54NW","","150","","KUN","","","","","HFCC","2026-03-29 15:32"
"9455000","Encompass Digital Media Services","","2","","","","","","Kor","CHN","1300","1330","1234567","44NE","","300","","TAI","","","","","HFCC","2026-03-29 15:32"
"9455000","Encompass Digital Media Services","","2","","","","","","Jpn","CHN","1330","1357","1234567","44NE","","300","","TAI","","","","","HFCC","2026-03-29 15:32"
"9455000","Japan International Communications","","290","","","","","","Mul","J","1700","2300","1234567","43N,44","","300","","YAM","","","","","HFCC","2026-03-29 15:32"
"9455000","Radio Miami International","","315","","","","","","EngPor","USA","2300","0500","1234567","2,3","","100","","RMI","","","","","HFCC","2026-03-29 15:32"
"9460000","China Radio International","","163","","","","","","Hak","CHN","0000","0100","1234567","54","","150","","KUN","","","","","HFCC","2026-03-29 15:32"
"9460000","China Radio International","","163","","","","","","Nan","CHN","0100","0200","1234567","54","","150","","KUN","","","","","HFCC","2026-03-29 15:32"
"9460000","China Radio International","","200","","","","","","Chn","CHN","0900","1100","1234567","49SE","","100","","NNN","","","","","HFCC","2026-03-29 15:32"
"9460000","China Radio International","","174","","","","","","Eng","CHN","1200","1300","1234567","41","","100","","KAS","","","","","HFCC","2026-03-29 15:32"
"9460000","China Radio International","","163","","","","","","Yue","CHN","2300","2400","1234567","49E,54","","150","","KUN","","","","","HFCC","2026-03-29 15:32"
"9460000","Turkish Radio-TV Corp","","310","","","","","","Tur","TUR","1600","2100","1234567","27,28","","250","","EMR","","","","","HFCC","2026-03-29 15:32"
"9460000","United States Agency for Global Media (USAGM)","","315","","","","","","Cmn","PHL","1100","1200","1234567","43,44","","250","","PHT","","","","","HFCC","2026-03-29 15:32"
"9465000","For new organization","","306","","","","","","Eng","BUL","2100","2300","1234567","28,29","BUL","250","","SOF","","","","","HFCC","2026-03-29 15:32"
"9465000","Turkish Radio-TV Corp","","72","","","","","","Uig","TUR","0200","0300","1234567","42","","300","","EMR","","","","","HFCC","2026-03-29 15:32"
"9465000","World Christian Broadcasting Corporation","","300","","","","","","Kor","USA","1300","1400","1234567","24,33,34","","100","","NLS","","","","","HFCC","2026-03-29 15:32"
"9465000","World Christian Broadcasting Corporation","","315","","","","","","Cmn","USA","1400","1500","1234567","24,33,34","","100","","NLS","","","","","HFCC","2026-03-29 15:32"
"9470000","China National Radio","","0","","","","","","Kaz","CHN","0348","1153","1234567","42N","","100","","URU","","","","","HFCC","2026-03-29 15:32"
"9470000","China Radio International","","354","","","","","","Mon","CHN","0000","0100","1234567","32S,33SW","","500","","XIA","","","","","HFCC","2026-03-29 15:32"
"9470000","China Radio International","","292","","","","","","Rus","CHN","1700","1800","1234567","30S,31S,40E","","500","","XIA","","","","","HFCC","2026-03-29 15:32"
"9470000","China Radio International","","354","","","","","","Mon","CHN","2300","2400","1234567","32S,33SW","","500","","XIA","","","","","HFCC","2026-03-29 15:32"
"9470000","Egypt Radio & TV Union","","325","","","","","","Ita","EGY","1800","1900","1234567","28","","125","","ABS","","","","","HFCC","2026-03-29 15:32"
"9470000","Nippon Hoso Kyokai","","270","","","","","","Jpn","J","1300","1400","1234567","41","","300","","YAM","","","","","HFCC","2026-03-29 15:32"
"9475000","Leap of Faith, Inc.","","50","","","","","","Eng","USA","1400","2400","1234567","4,9,18","","100","","TWW","","","","","HFCC","2026-03-29 15:32"
"9475000","Media Broadcast GmbH","","230","","","","","","NldEng","D","0700","0800","1234567","27N,28S","X.posps","125","","NAU","","","","","HFCC","2026-03-29 15:32"
"9480000","Abu Dhabi Media Company","","45","","","","","","Fas","UAE","0430","0530","1234567","40","UAE","250","","DHA","","","","","HFCC","2026-03-29 15:32"
"9480000","China National Radio","","310","","","","","","Bod","CHN","1100","1605","1234567","42SE,43SW","","150","","DOF","","","","","HFCC","2026-03-29 15:32"
"9480000","China National Radio","","310","","","","","","Bod","CHN","2155","2400","1234567","42SE,43SW","","150","","DOF","","","","","HFCC","2026-03-29 15:32"
"9480000","China Radio International","","317","","","","","","Fra","CHN","1800","2000","1234567","28","","500","","XIA","","","","","HFCC","2026-03-29 15:32"
"9480000","Nippon Hoso Kyokai","","175","","","","","","Jpn","J","2000","2100","1234567","51,55,56,59,60","","300","","YAM","","","","","HFCC","2026-03-29 15:32"
"9490000","Abu Dhabi Media Company","","240","","","","","","Fra","UAE","2100","2130","23456","46,47","UAE","250","","DHA","","","","","HFCC","2026-03-29 15:32"
"9490000","China National Radio","","85","","","","","","Bod","CHN","0200","1000","1234567","43SW","","100","","LHA","","","","","HFCC","2026-03-29 15:32"
"9490000","China Radio International","","177","","","","","","Khm","CHN","1030","1130","1234567","49SE","","150","","KUN","","","","","HFCC","2026-03-29 15:32"
"9490000","China Radio International","","270","","","","","","Ben","CHN","1300","1400","1234567","41NE","","150","","KUN","","","","","HFCC","2026-03-29 15:32"
"9490000","China Radio International","","270","","","","","","Ben","CHN","1400","1500","1234567","41NE","","150","","KUN","","","","","HFCC","2026-03-29 15:32"
"9490000","China Radio International","","270","","","","","","Ben","CHN","1500","1600","1234567","41NE","","150","","KUN","","","","","HFCC","2026-03-29 15:32"
"9490000","China Radio International","","257","","","","","","Chn","CHN","2200","2300","1234567","52E,53,57N","","500","","BEI","","","","","HFCC","2026-03-29 15:32"
"9490000","China Radio International","","234","","","","","","Sin","CHN","2330","0030","1234567","41SE","","150","","KUN","","","","","HFCC","2026-03-29 15:32"
"9490000","For new organization","","126","","","","","","Mul","BUL","1745","2000","1234567","39","BUL","100","","SOF","","","","","HFCC","2026-03-29 15:32"
"9490000","Media Broadcast GmbH","","141","","","","","","Mul","BUL","1700","1745","1234567","38E,39,40W","X.meara","100","","SOF","","","","","HFCC","2026-03-29 15:32"
"9490000","Radio Miami International","","285","","","","","","Spa","F","0100","0200","1234567","11","RMM","150","","ISS","","","","","HFCC","2026-03-29 15:32"
"9490000","Radio Miami International","","285","","","","","","Spa","F","0200","0300","1234567","11","1","150","","ISS","","","","","HFCC","2026-03-29 15:32"
"9490000","Radio Romania International","","300","","","","","","Ron","ROU","1200","1300","1234567","28NW","","100","","TIG","","","","","HFCC","2026-03-29 15:32"
"9500000","China National Radio","","165","","","","","","Zho","CHN","2025","1805","1234567","44S","","100","","SZG","","","","","HFCC","2026-03-29 15:32"
"9500000","China Radio International","","209","","","","","","Eng","CHN","1100","1300","1234567","41NW","","100","","KAS","","","","","HFCC","2026-03-29 15:32"
"9500000","China Radio International","","209","","","","","","Eng","CHN","1300","1400","1234567","41NW","","100","","KAS","","","","","HFCC","2026-03-29 15:32"
"9500000","Radio Romania International","","285","","","","","","Ron","ROU","0400","0500","1234567","27SE","","300","","GAL","","","","","HFCC","2026-03-29 15:32"
"9500000","Radio Romania International","","285","","","","","","Ron","ROU","1800","1900","1234567","27SE","","300","","GAL","","","","","HFCC","2026-03-29 15:32"
"9500000","Radio Romania International","","285","","","","","","Ron","ROU","1900","2000","1234567","27SE","","300","","GAL","","","","","HFCC","2026-03-29 15:32"
"9500000","Telediffusion d'Algerie","","131","","","","","","Arb","ALG","0300","0400","1234567","37SE,38SW,46E,47NW","","300","","BEC","","","","","HFCC","2026-03-29 15:32"
"9500000","Telediffusion d'Algerie","","131","","","","","","Arb","ALG","0400","0500","1234567","37SE,38SW,46E,47NW","","300","","BEC","","","","","HFCC","2026-03-29 15:32"
"9500000","Telediffusion d'Algerie","","131","","","","","","Arb","ALG","0500","0600","1234567","37SE,38SW,46E,47NW","","300","","BEC","","","","","HFCC","2026-03-29 15:32"
