#++
#
#   Frequency Database
#   ==================
#
#   Created: 29-Mar-2026 15:32:45
#
#   The column names are the database fields
#
#   When importing:
#       Rows starting with # are treated as comments
#       Missing fields are left empty
#       Invalid fields are ignored
#       First field must be Frequency
#       Frequency value is in kHz not Hz
#       Source is set to Custom
#       Added is set to the current date & time
#
#--
Frequency,Station,Site,Azi,Dist,Locator,RDS_PI,RDS_PS,CallID,Language,TX_Country,Time_On,Time_Off,Days,Target,Notes,Pwr,M,Org_Country,Lat,Lon,ITU,Polarity,Source,Date
"3985000","Radio Horizon","","0","","","","","","Nld","HOL","1600","2400","1234567","18,27,28,37","","5","","ANK","","","","","HFCC","2026-03-29 15:32"
"3990000","China National Radio","","0","","","","","","Zho","CHN","0355","0620","1234567","43NW","","10","","LAN","","","","","HFCC","2026-03-29 15:32"
"3990000","China National Radio","","0","","","","","","Zho","CHN","1025","1345","1234567","43NW","","10","","LAN","","","","","HFCC","2026-03-29 15:32"
"3990000","China National Radio","","0","","","","","","Uig","CHN","1200","1800","1234567","42N","","100","","URU","","","","","HFCC","2026-03-29 15:32"
"3990000","China National Radio","","0","","","","","","Zho","CHN","2255","0120","1234567","43NW","","10","","LAN","","","","","HFCC","2026-03-29 15:32"
"3990000","China National Radio","","0","","","","","","Uig","CHN","2330","0300","1234567","42N","","100","","URU","","","","","HFCC","2026-03-29 15:32"
"3995000","Voice of the Andes","","90","","","","","","Mul","D","0500","2400","1234567","27,28","","1","","WNM","","","","","HFCC","2026-03-29 15:32"
"4500000","China National Radio","","0","","","","","","Mon","CHN","0000","0330","1234567","42N","","50","","URU","","","","","HFCC","2026-03-29 15:32"
"4500000","China National Radio","","0","","","","","","Mon","CHN","1230","1800","1234567","42N","","50","","URU","","","","","HFCC","2026-03-29 15:32"
"4750000","China National Radio","","192","","","","","","Zho","CHN","1958","1730","1234567","33S","","10","","HLR","","","","","HFCC","2026-03-29 15:32"
"4755000","Radio Republic of Indonesia","","345","","","","","","Eng","INS","1000","1100","1234567","51,54E","","3","","JAK","","","","","HFCC","2026-03-29 15:32"
"4755000","Radio Republic of Indonesia","","345","","","","","","Cmn","INS","1100","1200","1234567","51,54E","","3","","JAK","","","","","HFCC","2026-03-29 15:32"
"4755000","Radio Republic of Indonesia","","345","","","","","","Jpn","INS","1200","1300","1234567","51,54E","","3","","JAK","","","","","HFCC","2026-03-29 15:32"
"4755000","Radio Republic of Indonesia","","345","","","","","","Eng","INS","1300","1400","1234567","51,54E","","3","","JAK","","","","","HFCC","2026-03-29 15:32"
"4755000","Radio Republic of Indonesia","","345","","","","","","Ind","INS","1400","1500","1234567","51,54E","","3","","JAK","","","","","HFCC","2026-03-29 15:32"
"4755000","Radio Republic of Indonesia","","345","","","","","","Cmn","INS","1500","1600","1234567","51,54E","","3","","JAK","","","","","HFCC","2026-03-29 15:32"
"4755000","Radio Republic of Indonesia","","345","","","","","","Ara","INS","1600","1700","1234567","51,54E","","3","","JAK","","","","","HFCC","2026-03-29 15:32"
"4755000","Radio Republic of Indonesia","","345","","","","","","Spa","INS","1800","1900","1234567","51,54E","","3","","JAK","","","","","HFCC","2026-03-29 15:32"
"4755000","Radio Republic of Indonesia","","345","","","","","","Deu","INS","1900","2000","1234567","51,54E","","3","","JAK","","","","","HFCC","2026-03-29 15:32"
"4755000","Radio Republic of Indonesia","","345","","","","","","Eng","INS","2000","2100","1234567","51,54E","","3","","JAK","","","","","HFCC","2026-03-29 15:32"
"4755000","Radio Republic of Indonesia","","345","","","","","","Fra","INS","2100","2200","1234567","51,54E","","3","","JAK","","","","","HFCC","2026-03-29 15:32"
"4755000","Radio Republic of Indonesia","","345","","","","","","Eng","INS","2200","2300","1234567","51,54E","","3","","JAK","","","","","HFCC","2026-03-29 15:32"
"4755000","Radio Republic of Indonesia","","345","","","","","","Jpn","INS","2300","2400","1234567","51,54E","","3","","JAK","","","","","HFCC","2026-03-29 15:32"
"4760000","All India Radio","","130","","","","","","Mul","IND","0130","0410","1234567","41NW","","10","","LEH","","","","","HFCC","2026-03-29 15:32"
"4760000","All India Radio","","130","","","","","","Mul","IND","1030","1700","1234567","41NW","","10","","LEH","","","","","HFCC","2026-03-29 15:32"
"4760000","All India Radio","","130","","","","","","Mul","IND","1200","1630","1234567","41NW","","10","","LEH","","","","","HFCC","2026-03-29 15:32"
"4800000","China National Radio","","0","","","","","","Zho","CHN","2025","1805","1234567","43NW","","100","","GEM","","","","","HFCC","2026-03-29 15:32"
"4820000","China National Radio","","0","","","","","","Zho","CHN","2000","1800","1234567","42SE,43SW","","100","","LHA","","","","","HFCC","2026-03-29 15:32"
"4830000","Mongol Radio & Television","","0","","","","","","Mon","MNG","2300","1600","1234567","32,33","","10","","U-B","","","","","HFCC","2026-03-29 15:32"
"4840000","WNQM, Inc.","","40","","","","","","Eng","USA","0000","1200","1234567","4,9,27-29","","100","","WCR","","","","","HFCC","2026-03-29 15:32"
"4840000","WNQM, Inc.","","40","","","","","","Eng","USA","0000","1200","1234567","4,9,27-29","","100","","WCR","","","","","HFCC","2026-03-29 15:32"
"4840000","WNQM, Inc.","","40","","","","","","Eng","USA","0000","1200","1234567","4,9,27-29","","100","","WCR","","","","","HFCC","2026-03-29 15:32"
"4850000","China National Radio","","0","","","","","","Kaz","CHN","0000","0328","1234567","42N","","100","","URU","","","","","HFCC","2026-03-29 15:32"
"4850000","China National Radio","","0","","","","","","Kaz","CHN","1158","1800","1234567","42N","","100","","URU","","","","","HFCC","2026-03-29 15:32"
"4895000","Mongol Radio & Television","","0","","","","","","Mon","MNG","2300","1600","1234567","32,33","","10","","U-B","","","","","HFCC","2026-03-29 15:32"
"4905000","China National Radio","","0","","","","","","Bod","CHN","2050","1805","1234567","42SE,43SW","","100","","LHA","","","","","HFCC","2026-03-29 15:32"
"4920000","China National Radio","","0","","","","","","Bod","CHN","2050","1805","1234567","42SE,43SW","","100","","LHA","","","","","HFCC","2026-03-29 15:32"
"4980000","China National Radio","","230","","","","","","Uig","CHN","1200","1800","1234567","42N","","50","","URU","","","","","HFCC","2026-03-29 15:32"
"4980000","China National Radio","","230","","","","","","Uig","CHN","2330","0300","1234567","42N","","50","","URU","","","","","HFCC","2026-03-29 15:32"
"4990000","China National Radio","","0","","","","","","Zho","CHN","0300","0500","1234567","43SE","","2","","WUH","","","","","HFCC","2026-03-29 15:32"
"4990000","China National Radio","","0","","","","","","Zho","CHN","0900","1700","1234567","43SE","","2","","WUH","","","","","HFCC","2026-03-29 15:32"
"4990000","China National Radio","","0","","","","","","Zho","CHN","2030","0100","1234567","43SE","","2","","WUH","","","","","HFCC","2026-03-29 15:32"
"5010000","Radio Miami International","","181","","","","","","EngSpa","USA","2300","0500","1234567","10,11,12","","100","","RMI","","","","","HFCC","2026-03-29 15:32"
"5020000","Solomon Islands Broadcasting","","0","","","","","","Bis","SLM","0800","1200","1234567","51,56","NZL","10","","HON","","","","","HFCC","2026-03-29 15:32"
"5020000","Solomon Islands Broadcasting","","0","","","","","","Bis","SLM","1200","2000","1234567","51,56","NZL","10","","HON","","","","","HFCC","2026-03-29 15:32"
"5040000","Vanuatu Broadcasting and Television Corporation","","0","","","","","","Bis","VUT","2100","0100","1234567","56,51","NZL","10","","PVL","","","","","HFCC","2026-03-29 15:32"
"5050000","China National Radio","","232","","","","","","Zho","CHN","1000","1600","1234567","49","","100","","NNN","","","","","HFCC","2026-03-29 15:32"
"5050000","China National Radio","","232","","","","","","Zho","CHN","2300","0100","1234567","49","","100","","NNN","","","","","HFCC","2026-03-29 15:32"
"5050000","Radio Miami International","","160","","","","","","EngSpa","USA","0000","0500","1234567","10,11,12","","100","","RMI","","","","","HFCC","2026-03-29 15:32"
"5060000","China National Radio","","230","","","","","","Zho","CHN","1200","1800","1234567","42N","","50","","URU","","","","","HFCC","2026-03-29 15:32"
"5060000","China National Radio","","230","","","","","","Zho","CHN","2330","0300","1234567","42N","","50","","URU","","","","","HFCC","2026-03-29 15:32"
"5130000","Allan H. Weiner","","245","","","","","","Eng","USA","0000","2400","1234567","3-5,9-11","","50","","BCQ","","","","","HFCC","2026-03-29 15:32"
"5800000","Radio Miami International","","160","","","","","","EngSpa","USA","0100","0500","1234567","11,12,13,14,15,16","","100","","RMI","","","","","HFCC","2026-03-29 15:32"
"5850000","Radio Miami International","","315","","","","","","EngSlkFra","USA","2200","1300","1234567","2,3","","100","","RMI","","","","","HFCC","2026-03-29 15:32"
"5860000","United States Agency for Global Media (USAGM)","","50","","","","","","Fas","KWT","0000","2400","1234567","40","","250","","KWT","","","","","HFCC","2026-03-29 15:32"
"5875000","BBC Worldservice","","78","","","","","","Eng","G","0459","0600","1234567","27SE,28NW","DRM_EUR","100","","WOF","","","","","HFCC","2026-03-29 15:32"
"5875000","For new organization","","306","","","","","","Eng","BUL","0400","0458","1234567","27,28,29,38","BUL","70","","SOF","","","","","HFCC","2026-03-29 15:32"
"5875000","United States Agency for Global Media (USAGM)","","315","","","","","","Cmn","PHL","2200","2300","1234567","43,44","","250","","PHT","","","","","HFCC","2026-03-29 15:32"
"5885000","United States Agency for Global Media (USAGM)","","332","","","","","","Cmn","PHL","1300","1500","1234567","43,44","","250","","PHT","","","","","HFCC","2026-03-29 15:32"
"5890000","WNQM, Inc.","","90","","","","","","Eng","USA","0100","1200","1234567","9,11,47,52,53","","100","","WCR","","","","","HFCC","2026-03-29 15:32"
"5890000","WNQM, Inc.","","90","","","","","","Eng","USA","0100","1200","1234567","9,11,47,52,53","","100","","WCR","","","","","HFCC","2026-03-29 15:32"
"5890000","WNQM, Inc.","","90","","","","","","Eng","USA","0100","1200","1234567","9,11,47,52,53","","100","","WCR","","","","","HFCC","2026-03-29 15:32"
"5895000","For new organization","","0","","","","","","Nor","NOR","0000","2400","1234567","18","OLD B25","1","","SVE","","","","","HFCC","2026-03-29 15:32"
"5900000","For new organization","","306","","","","","","Eng","BUL","0000","2359","1234567","27,28,29,38","BUL","250","","SOF","","","","","HFCC","2026-03-29 15:32"
"5905000","Deutscher Wetterdienst","","0","","","","","","Deu","D","0600","0630","1234567","18,27,28","","10","","PIN","","","","","HFCC","2026-03-29 15:32"
"5905000","Deutscher Wetterdienst","","0","","","","","","Deu","D","1200","1230","1234567","18,27,28","","10","","PIN","","","","","HFCC","2026-03-29 15:32"
"5905000","Deutscher Wetterdienst","","0","","","","","","Deu","D","1600","1630","1234567","18,27,28","","10","","PIN","","","","","HFCC","2026-03-29 15:32"
"5905000","Deutscher Wetterdienst","","0","","","","","","Deu","D","2000","2030","1234567","18,27,28","","10","","PIN","","","","","HFCC","2026-03-29 15:32"
"5905000","Radio Horizon","","0","","","","","","Nld","HOL","0700","2400","1234567","18,27,28,37","","5","","ANK","","","","","HFCC","2026-03-29 15:32"
"5910000","HFCC, Intl. Radio for Disaster Relief project","","0","","","","","","Und","CVA","0000","2400","1234567","1-85","!IRDR!","100","","SMG","","","","","HFCC","2026-03-29 15:32"
"5910000","Radio Romania International","","240","","","","","","Rup","ROU","1430","1500","1234567","28SW","","100","","TIG","","","","","HFCC","2026-03-29 15:32"
"5910000","Radio Romania International","","30","","","","","","Ukr","ROU","1500","1530","1234567","29SW","","100","","TIG","","","","","HFCC","2026-03-29 15:32"
"5910000","Radio Romania International","","270","","","","","","Srp","ROU","1530","1600","1234567","28S","","100","","TIG","","","","","HFCC","2026-03-29 15:32"
"5910000","Radio Romania International","","270","","","","","","Ita","ROU","1600","1630","1234567","28SW","","100","","TIG","","","","","HFCC","2026-03-29 15:32"
"5910000","Radio Romania International","","240","","","","","","Rup","ROU","1630","1700","1234567","28SW","","100","","TIG","","","","","HFCC","2026-03-29 15:32"
"5910000","Radio Romania International","","30","","","","","","Ukr","ROU","1700","1730","1234567","29SW","","100","","TIG","","","","","HFCC","2026-03-29 15:32"
"5910000","Radio Romania International","","270","","","","","","Srp","ROU","1730","1800","1234567","28S","","100","","TIG","","","","","HFCC","2026-03-29 15:32"
"5910000","Radio Romania International","","270","","","","","","Ita","ROU","1800","1830","1234567","28SW","","30","","TIG","","","","","HFCC","2026-03-29 15:32"
"5910000","Radio Romania International","","240","","","","","","Rup","ROU","1830","1900","1234567","28SW","","100","","TIG","","","","","HFCC","2026-03-29 15:32"
"5910000","Radio Romania International","","30","","","","","","Ukr","ROU","1900","1930","1234567","29SW","","100","","TIG","","","","","HFCC","2026-03-29 15:32"
"5910000","Radio Romania International","","270","","","","","","Srp","ROU","1930","2000","1234567","28S","","100","","TIG","","","","","HFCC","2026-03-29 15:32"
"5920000","Japan International Communications","","290","","","","","","Mul","J","1300","1500","1234567","43N,44","","300","","YAM","","","","","HFCC","2026-03-29 15:32"
"5920000","Japan International Communications","","290","","","","","","Mul","J","1555","1600","1234567","43N,44","","300","","YAM","","","","","HFCC","2026-03-29 15:32"
"5920000","Japan International Communications","","290","","","","","","Mul","J","1600","1700","1234567","43N,44","","300","","YAM","","","","","HFCC","2026-03-29 15:32"
"5920000","Korean Broadcasting System","","0","","","","","","Kor","KOR","0000","2400","1234567","44","","10","","HWA","","","","","HFCC","2026-03-29 15:32"
"5920000","Leap of Faith, Inc.","","50","","","","","","Eng","USA","0000","1400","1234567","4,9,18","","100","","TWW","","","","","HFCC","2026-03-29 15:32"
"5920000","Radio Russia","","190","","","","","","Rus","RUS","1400","2200","1234567","29SW","","200","","MSK","","","","","HFCC","2026-03-29 15:32"
