Frequency,Mode,Station,On,Off,Language,Site,TX Country,Days,Target,Power,Azimuth,Origin,Source,Stn,Call sign,Additional info,Remarks,Position of site,Active,Year
11735000,AM,Voice of Korea,0400,0457,English,Kuyang,Korea-North,1234567,CA/SA,200,48,North Korea,ILGRadio,VKORE,,,,"126 06 38E,40 04 52N",C,2201
11735000,AM,Voice of Korea,0500,0557,Spanish,Kuyang,Korea-North,1234567,CA/SA,200,48,North Korea,ILGRadio,VKORE,,,,"126 06 38E,40 04 52N",C,2201
11735000,AM,Voice of Korea,0600,0657,French,Kuyang,Korea-North,1234567,CA/SA,200,48,North Korea,ILGRadio,VKORE,,,,"126 06 38E,40 04 52N",C,2201
11735000,AM,Voice of Korea,0700,0757,Russian,Kuyang,Korea-North,1234567,neAS,200,28,North Korea,ILGRadio,VKORE,,,,"126 06 38E,40 04 52N",C,2211
11735000,AM,Voice of Korea,0800,0857,Russian,Kuyang,Korea-North,1234567,neAS,200,28,North Korea,ILGRadio,VKORE,,,,"126 06 38E,40 04 52N",C,2201
11735000,AM,BBC World Service,1000,1100,English,Kranji,Singapore,1234567,seASs,250,90,Singapore,ILGRadio,BBC,,,,"103 43 56E,01 25 23N",C,2211
11735000,AM,BBC World Service,1700,1800,Dari,Kranji,Singapore,1234567,neME,250,315,Singapore,ILGRadio,BBC,,,,"103 43 56E,01 25 23N",C,2211
11735000,AM,BBC World Service,1800,1900,Pashto,Kranji,Singapore,1234567,neME,250,315,Singapore,ILGRadio,BBC,,,,"103 43 56E,01 25 23N",C,2211
11738000,USB,Russian Navy Pacific Fleet,0600,2400,DATA:TELEX,Vladivostok,Russia,1234567,neAS/nPA,3,0,Russian Federation,ILGRadio,RusNA,RJS,T-600/50Bd/200,,"132 04 11E,43 11 26N",C,2203
11739500,ISB,US Navy Datalink,0000,2400,DATA:DATA,various seaborne/airborne,Japan,1234567,eAS/nPA,5,0,Japan,ILGRadio,USNav,,LINK-11 MIL-STD 6011,DUAL MODE,"127 00 00E,26 00 00N",C,1712
11740000,AM,CNR Beijing 2,1100,1605,Mandarin,Lingshi,China,1234567,(CHNw  ),100,286,China,ILGRadio,CNR 2,,,,"111 55 23E,36 52 18N",I,NONE
11740000,AM,CNR Beijing 2,2055,0100,Mandarin,Lingshi,China,1234567,(CHNw  ),100,286,China,ILGRadio,CNR 2,,,,"111 55 23E,36 52 18N",I,NONE
11740000,AM,China Radio International,0200,0230,Pashto,Xian-Xianyang,China,1234567,neME,500,292,China,ILGRadio,CRI,,,,"108 36 37E,34 22 33N",C,2212
11745000,AM,Al Azm Radio,0000,0657,Arabic,Jeddah,Saudi Arabia,1234567,sME,250,150,Saudi Arabia,ILGRadio,AAR,,,,"039 09 42E,21 14 40N",C,2211
11745000,AM,Al Azm Radio,0755,2400,Arabic,Jeddah,Saudi Arabia,1234567,sME,250,150,Saudi Arabia,ILGRadio,AAR,,,,"039 09 42E,21 14 40N",C,2212
11745000,AM,R.Taiwan International,0800,0858,Japanese,BauJong,Taiwan,1234567,eAS,300,45,Taiwan,ILGRadio,RTI,,,,"120 18 00E,23 43 30N",C,2211
11750000,AM,CNR Beijing,0000,1055,Mandarin,Nanning,China,1234567,seASn,100,142,China,ILGRadio,CNR,,,,"108 11 30E,22 47 32N",C,2212
11750000,AM,CNR Beijing 1,0600,0800,Mandarin,Shijiazhuang,China,12.4567,(CHNne ),100,37,China,ILGRadio,CNR 1,,,,"114 06 22E,38 13 17N",C,2211
11750000,AM,CNR Beijing 1,2200,0600,Mandarin,Shijiazhuang,China,1234567,(CHNne ),100,37,China,ILGRadio,CNR 1,,,,"114 06 22E,38 13 17N",C,2211
11750000,AM,China Radio International,1100,1157,Mandarin,Beijing-Doudian,China,1234567,AU,500,142,China,ILGRadio,CRI,,,,"116 05 37E,39 38 11N",C,2212
11750000,AM,Sri Lanka Broadcasting Corp.,1630,1830,Sinhala,Trincomalee,Sri Lanka,1234567,ME,125,300,Sri Lanka,ILGRadio,SLBC,,,,"081 07 50E,08 44 35N",C,2211
11750000,AM,R.Free Asia,1430,1500,Khmer,Tinian Island,North.Mariana Isl.,1234567,seASn,250,272,Northern Mariana Islands,ILGRadio,RFA,,,,"145 36 19E,15 02 51N",C,2211
11750000,AM,BBC World Service,1330,1400,Bengali,Al Seela,Oman,1234567,sASe,125,80,Oman,ILGRadio,BBC,,,,"059 37 01E,21 55 06N",C,2211
11750000,AM,FEBC Radio,1400,1430,Lahu,Bocaue,Philippines,1234567,c/seASn,100,305,Philippines,ILGRadio,FEBC,,,,"120 54 37E,14 48 08N",C,2211
