Frequency,M,Station,On,Off,Language,Site,TX Country,Days,Target,Power,Azimuth,Origin,Source
4755000,AM,Radio Republic of Indonesia,14:00,15:00,Indonesian,Djakarta,Indonesia,1234567,,3,345,Indonesia,HFCC
4755000,AM,Radio Republic of Indonesia,15:00,16:00,Mandarin Chinese,Djakarta,Indonesia,1234567,,3,345,Indonesia,HFCC
4755000,AM,Radio Republic of Indonesia,16:00,17:00,Arabic,Djakarta,Indonesia,1234567,,3,345,Indonesia,HFCC
4755000,AM,Radio Republic of Indonesia,18:00,19:00,Spanish,Djakarta,Indonesia,1234567,,3,345,Indonesia,HFCC
4755000,AM,Radio Republic of Indonesia,19:00,20:00,German,Djakarta,Indonesia,1234567,,3,345,Indonesia,HFCC
4755000,AM,Radio Republic of Indonesia,20:00,21:00,English,Djakarta,Indonesia,1234567,,3,345,Indonesia,HFCC
4755000,AM,Radio Republic of Indonesia,21:00,22:00,French,Djakarta,Indonesia,1234567,,3,345,Indonesia,HFCC
4755000,AM,Radio Republic of Indonesia,22:00,23:00,English,Djakarta,Indonesia,1234567,,3,345,Indonesia,HFCC
4755000,AM,Radio Republic of Indonesia,23:00,24:00,Japanese,Djakarta,Indonesia,1234567,,3,345,Indonesia,HFCC
4760000,AM,All India Radio,01:30,04:10,Multiple languages,Leh,India,1234567,,10,130,India,HFCC
4760000,AM,All India Radio,10:30,17:00,Multiple languages,Leh,India,1234567,,10,130,India,HFCC
4760000,AM,All India Radio,12:00,16:30,Multiple languages,Leh,India,1234567,,10,130,India,HFCC
4800000,AM,China National Radio,20:25,18:05,Chinese,Geermu,China,1234567,,100,0,China,HFCC
4820000,AM,China National Radio,20:00,18:00,Chinese,Lhasa,China,1234567,,100,0,China,HFCC
4830000,AM,Mongol Radio & Television,23:00,16:00,Mongolian,Ulan Bator,Mongolia,1234567,,10,0,Mongolia,HFCC
4840000,AM,"WNQM, Inc.",00:00,12:00,English,"Nashville, TN",United States,1234567,,100,40,United States,HFCC
4840000,AM,"WNQM, Inc.",00:00,12:00,English,"Nashville, TN",United States,1234567,,100,40,United States,HFCC
4840000,AM,"WNQM, Inc.",00:00,12:00,English,"Nashville, TN",United States,1234567,,100,40,United States,HFCC
4850000,AM,China National Radio,00:00,03:28,Kazakh,Urumqi,China,1234567,,100,0,China,HFCC
4850000,AM,China National Radio,11:58,18:00,Kazakh,Urumqi,China,1234567,,100,0,China,HFCC
4895000,AM,Mongol Radio & Television,23:00,16:00,Mongolian,Ulan Bator,Mongolia,1234567,,10,0,Mongolia,HFCC
4905000,AM,China National Radio,20:50,18:05,Tibetan,Lhasa,China,1234567,,100,0,China,HFCC
4920000,AM,China National Radio,20:50,18:05,Tibetan,Lhasa,China,1234567,,100,0,China,HFCC
4980000,AM,China National Radio,12:00,18:00,Uighur,Urumqi,China,1234567,,50,230,China,HFCC
4980000,AM,China National Radio,23:30,03:00,Uighur,Urumqi,China,1234567,,50,230,China,HFCC
4990000,AM,China National Radio,03:00,05:00,Chinese,Wuhan,China,1234567,,2,0,China,HFCC
4990000,AM,China National Radio,09:00,17:00,Chinese,Wuhan,China,1234567,,2,0,China,HFCC
4990000,AM,China National Radio,20:30,01:00,Chinese,Wuhan,China,1234567,,2,0,China,HFCC
5010000,AM,Radio Miami International,23:00,05:00,English / Spanish,"Okeechobee, FL",United States,1234567,,100,181,United States,HFCC
5020000,AM,Solomon Islands Broadcasting,08:00,12:00,Bislama,Honiara,Solomon,1234567,,10,0,Solomon,HFCC
5020000,AM,Solomon Islands Broadcasting,12:00,20:00,Bislama,Honiara,Solomon,1234567,,10,0,Solomon,HFCC
5040000,AM,Vanuatu Broadcasting and Television Corporation,21:00,01:00,Bislama,Port Vila,Vanuatu,1234567,,10,0,Vanuatu,HFCC
5050000,AM,Radio Miami International,00:00,05:00,English / Spanish,"Okeechobee, FL",United States,1234567,,100,160,United States,HFCC
5050000,AM,China National Radio,10:00,16:00,Chinese,Nanning,China,1234567,,100,232,China,HFCC
5050000,AM,China National Radio,23:00,01:00,Chinese,Nanning,China,1234567,,100,232,China,HFCC
5060000,AM,China National Radio,12:00,18:00,Chinese,Urumqi,China,1234567,,50,230,China,HFCC
5060000,AM,China National Radio,23:30,03:00,Chinese,Urumqi,China,1234567,,50,230,China,HFCC
5130000,AM,Allan H. Weiner,00:00,24:00,English,"Monticello, ME",United States,1234567,,50,245,United States,HFCC
5800000,AM,Radio Miami International,01:00,05:00,English / Spanish,"Okeechobee, FL",United States,1234567,,100,160,United States,HFCC
5850000,AM,Radio Miami International,22:00,13:00,English / Slovak / French,"Okeechobee, FL",United States,1234567,,100,315,United States,HFCC
5860000,AM,United States Agency for Global Media (USAGM),00:00,24:00,Persian,Kuwait,Kuwait,1234567,,250,50,Kuwait,HFCC
5875000,AM,For new organization,04:00,04:58,English,Sofia,Bulgaria,1234567,,70,306,Bulgaria,HFCC
5875000,AM,BBC Worldservice,04:59,06:00,English,Woofferton,United Kingdom,1234567,,100,78,United Kingdom,HFCC
5875000,AM,United States Agency for Global Media (USAGM),22:00,23:00,Mandarin Chinese,Tinang 1,Philippines,1234567,,250,315,Philippines,HFCC
5885000,AM,United States Agency for Global Media (USAGM),13:00,15:00,Mandarin Chinese,Tinang 1,Philippines,1234567,,250,332,Philippines,HFCC
5890000,AM,"WNQM, Inc.",01:00,12:00,English,"Nashville, TN",United States,1234567,,100,90,United States,HFCC
5890000,AM,"WNQM, Inc.",01:00,12:00,English,"Nashville, TN",United States,1234567,,100,90,United States,HFCC
5890000,AM,"WNQM, Inc.",01:00,12:00,English,"Nashville, TN",United States,1234567,,100,90,United States,HFCC
5895000,AM,For new organization,00:00,24:00,Norwegian,Sveio,Norway,1234567,,1,0,Norway,HFCC
5900000,AM,For new organization,00:00,23:59,English,Sofia,Bulgaria,1234567,,250,306,Bulgaria,HFCC
5905000,AM,Deutscher Wetterdienst,06:00,06:30,German,Pinneberg,Germany,1234567,,10,0,Germany,HFCC
5905000,AM,Radio Horizon,07:00,24:00,Dutch,Ankum,Netherlands,1234567,,5,0,Netherlands,HFCC
5905000,AM,Deutscher Wetterdienst,12:00,12:30,German,Pinneberg,Germany,1234567,,10,0,Germany,HFCC
5905000,AM,Deutscher Wetterdienst,16:00,16:30,German,Pinneberg,Germany,1234567,,10,0,Germany,HFCC
5905000,AM,Deutscher Wetterdienst,20:00,20:30,German,Pinneberg,Germany,1234567,,10,0,Germany,HFCC
5910000,AM,"HFCC, Intl. Radio for Disaster Relief project",00:00,24:00,Undetermined,S. Maria di Galeria,Vatican,1234567,,100,0,Vatican,HFCC
5910000,AM,Radio Romania International,14:30,15:00,Macedo Romanian,Tiganesti,Romania,1234567,,100,240,Romania,HFCC
5910000,AM,Radio Romania International,15:00,15:30,Ukrainian,Tiganesti,Romania,1234567,,100,30,Romania,HFCC
5910000,AM,Radio Romania International,15:30,16:00,Serbian,Tiganesti,Romania,1234567,,100,270,Romania,HFCC
5910000,AM,Radio Romania International,16:00,16:30,Italian,Tiganesti,Romania,1234567,,100,270,Romania,HFCC
5910000,AM,Radio Romania International,16:30,17:00,Macedo Romanian,Tiganesti,Romania,1234567,,100,240,Romania,HFCC
5910000,AM,Radio Romania International,17:00,17:30,Ukrainian,Tiganesti,Romania,1234567,,100,30,Romania,HFCC
5910000,AM,Radio Romania International,17:30,18:00,Serbian,Tiganesti,Romania,1234567,,100,270,Romania,HFCC
5910000,AM,Radio Romania International,18:00,18:30,Italian,Tiganesti,Romania,1234567,,30,270,Romania,HFCC
5910000,AM,Radio Romania International,18:30,19:00,Macedo Romanian,Tiganesti,Romania,1234567,,100,240,Romania,HFCC
5910000,AM,Radio Romania International,19:00,19:30,Ukrainian,Tiganesti,Romania,1234567,,100,30,Romania,HFCC
5910000,AM,Radio Romania International,19:30,20:00,Serbian,Tiganesti,Romania,1234567,,100,270,Romania,HFCC
5920000,AM,"Leap of Faith, Inc.",00:00,14:00,English,"Lebanon, TN",United States,1234567,,100,50,United States,HFCC
5920000,AM,Korean Broadcasting System,00:00,24:00,Korean,HwaSung,Korea (Rep. of),1234567,,10,0,Korea (Rep. of),HFCC
5920000,AM,Voice of the Andes,07:00,22:00,Multiple languages,Weenermoor,Germany,1234567,,1,145,Germany,HFCC
5920000,AM,Japan International Communications,13:00,15:00,Multiple languages,Tokyo Yamata,Japan,1234567,,300,290,Japan,HFCC
5920000,AM,Radio Russia,14:00,22:00,Russian,Moskva,Russia,1234567,,200,190,Russia,HFCC
5920000,AM,Japan International Communications,15:55,16:00,Multiple languages,Tokyo Yamata,Japan,1234567,,300,290,Japan,HFCC
5920000,AM,Japan International Communications,16:00,17:00,Multiple languages,Tokyo Yamata,Japan,1234567,,300,290,Japan,HFCC
5925000,AM,China National Radio,10:00,17:05,Chinese,Beijing,China,1234567,,100,163,China,HFCC
5925000,AM,China National Radio,20:55,24:00,Chinese,Beijing,China,1234567,,100,163,China,HFCC
5930000,AM,World Music Radio,00:00,23:59,Multiple languages,Bramming,Denmark,1234567,,4,0,Denmark,HFCC
